Get Command Curve
Time;2012-06-16;2012-06-17
00:10;4854;5604
00:20;4185;6545
00:30;3489;4633
00:40;5138;4073
00:50;4320;5392
01:00;3710;3656
01:10;3063;3970
01:20;3372;2976
01:30;5824;4758
01:40;232;2583
01:50;3110;4029
02:00;4582;3231
02:20;5381;3183
02:30;2446;2826
02:40;2176;3031
02:50;2062;6831
03:00;2554;4444
03:10;2112;2291
03:20;2130;2208
03:30;2299;1683
03:40;1780;1752
03:50;1666;2531
04:00;2893;2465
04:10;2107;2186
04:20;1699;1864
04:30;1702;1894
04:40;1950;51077
04:50;2038;2140
05:00;2507;1851
05:10;1643;1560
05:20;1664;2205
05:30;2695;1737
05:40;49716;1754
05:50;3220;2626
06:00;2371;1928
06:10;2360;2520
06:20;2399;2480
06:30;2487;2797
06:40;2809;2116
06:50;2596;2869
07:00;3383;2230
07:10;2920;3962
07:20;1703;2077
07:30;2250;2245
07:40;2689;2769
07:50;3096;3688
08:00;3774;2721
08:10;2976;2788
08:20;3757;2762
08:30;3827;2948
08:50;9226;3891
09:00;4082;4730
09:10;5725;4109
09:20;4122;4168
09:30;6231;4590
09:40;5033;4310
09:50;5949;5255
10:00;6838;4622
10:10;6031;5281
10:20;6794;5023
10:30;5723;6101
10:40;6089;6285
10:50;6735;6264
11:00;5722;6410
11:10;8447;7491
11:20;5835;6051
11:30;7819;5414
11:40;8383;5373
11:50;5490;5328
12:00;7723;6130
12:10;6064;6006
12:20;5895;6199
12:30;6693;8024
12:40;6069;6848
12:50;6701;7024
13:00;7664;6895
13:10;8737;7961
13:20;7015;7004
13:40;15331;7294
13:50;6870;null
14:00;9371;null
14:10;9821;null
14:30;14088;null
14:40;6408;null
14:50;6249;null
15:00;6680;null
15:10;6507;null
15:20;6360;null
15:30;6512;null
15:40;8180;null
15:50;6291;null
16:00;7375;null
16:10;6425;null
16:20;6469;null
16:30;740;null
16:40;6779;null
16:50;9319;null
17:00;7816;null
17:10;8867;null
17:20;7302;null
17:30;7161;null
17:40;8237;null
17:50;7716;null
18:00;7661;null
18:10;7422;null
18:20;7035;null
18:30;887;null
18:40;6561;null
18:50;6752;null
19:00;6451;null
19:10;7015;null
19:20;10504;null
19:30;7004;null
19:40;7289;null
19:50;7382;null
20:00;8103;null
20:10;7124;null
20:20;7024;null
20:30;8399;null
20:40;6149;null
20:50;8607;null
21:00;7617;null
21:10;7486;null
21:20;6840;null
21:30;7008;null
21:40;7098;null
21:50;7196;null
22:00;7297;null
22:10;8998;null
22:20;8373;null
22:30;8191;null
22:40;7256;null
22:50;7222;null
23:00;9408;null
23:10;9893;null
23:20;9104;null
23:30;8470;null
23:40;6863;null
23:50;12267;null
