[REPORT 20110521]
SUMMARY
	MOBI: 391   (370+21)
	MAIL: 36   (33+3)
	SINA: 161
	RENN: 0
	SNDA: 6
	SUMM: 594
DETAILS
TIME;SINA;RENN;SNDA;MOBI;MAIL;SUMM
 H00;   4;   0;   0;  19;   1;  24
 H01;   5;   0;   0;   8;   0;  13
 H02;   2;   0;   1;  15;   0;  18
 H03;   0;   0;   1;   3;   0;   4
 H04;   1;   0;   0;   3;   0;   4
 H05;   1;   0;   0;   0;   0;   1
 H06;   2;   0;   0;   7;   0;   9
 H07;   2;   0;   0;  15;   0;  17
 H08;   5;   0;   0;  15;   1;  21
 H09;   5;   0;   0;  20;   2;  27
 H10;  16;   0;   0;  16;   0;  32
 H11;  15;   0;   0;  15;   2;  32
 H12;   7;   0;   0;  23;   0;  30
 H13;  14;   0;   1;  25;   2;  42
 H14;  12;   0;   0;  28;   1;  41
 H15;   6;   0;   0;  13;   4;  23
 H16;   5;   0;   0;  22;   2;  29
 H17;   7;   0;   1;  12;   3;  23
 H18;   8;   0;   0;  22;   5;  35
 H19;   7;   0;   0;  21;   2;  30
 H20;   2;   0;   0;  22;   2;  26
 H21;  13;   0;   0;  15;   3;  31
 H22;  11;   0;   2;  27;   3;  43
 H23;  11;   0;   0;  25;   3;  39
